Obra Social,Código,Nota
ACCORD SALUD,A02,#Afil sin los dos primeros digitos y sin el último
BANCO PROVIN.-AMEBPBA 50% ( BCO ),BCO,
CASA 40% - JUB/BAS/H/INTE/MED ( CBA ),CBA,
CEMIC 40% ( MI4 ),MI4,
CLUB LA NACION ( CLN ),CLN,
COSEGURO DOMINGUEZ 15% ( CDO ),CDO,
D.O.S.U.B.A. 40% ( IB1 ),IB1,
DAS CONGRESO 50% ( DAS ),DAS,
DESCUENTO ESPECIAL S/T ( O.V ),O.V,
FONDO COMPENSADOR TELEFONICO ( FCC ),FCC,
FT-CHEQ 20% ( FT2 ),FT2,
GALENO 40% ( ASA ),ASA,
HOSPITAL ALEMAN 40% ( HOS ),HOS,
HOSPITAL BRITANICO 40% ( HB5 ),HB5,# Afiliado con la /
I.O.S.F.A. / AMBULAT. UNIFICAD ( FSA ),FSA,
IOMA ( IMO ),IMO,
LA RECIPROCA-AMEPBA 30% ( RAL ),RAL,
LUIS PASTEUR 60% -O.PLANES- ( LP7 ),LP7,
MEDICUS 40% -O.PLANES ( MC4 ),MC4,
O.S.COMIS.NAVALES MIXTO ( NAV ),NAV,
OB.S.B.A.(EX-IMOS) 50% ( IME ),IME ,
OBRA SOCIAL DE COMISARIOS-NAVALES OSPAÑA GLOBAL,NAV,Si no toma validado tabular al 40%
OMINT 40% ( OMI ),OMI,
OSDE 40-70% ( OSD ),OSD,
OSDE PLAN ESPECIAL 100% ( OSP ),OSP,
OSDEPYM- 40% PYME 800 OSPAÑA ( P6Y ),P6Y,
OSECAC 40% - ACTIVOS ( OS3 ),OS3,
OSECAC 50% - PASIVOS ( OE6 ),OE6,
OSOCNA OBRA SOCIAL DE COMISARIOS NAVALES,NAV,Si no toma validado tabular al 40%
OSPRERA / PLAN GENERAL ( OPS ),OPS,
OSSEG - MIXTO ( SE7 ),SE7,
OSTIG/TRAB.IND.DEL GAS 40% ( TI4 ),TI4,
P.SALUD HOSP.ITALIANO 40% ( NPC ),NPC,
PAMI ( PAM ),PAM,
PAP DESCUENTO 30% ( PA3 ),PA3,
PODER JUDICIAL / 70% ( POD ),POD,
PREVENCION SALUD 40%-50%-60% ( PSV ),PSV,
RECETARIO SOLIDARIO 20% ( R20 ),R20,
S.M.G.-APSOT/FSST 40% ( CHT ),CHT,
SANCOR SALUD - MIXTO (VALIDA) ( SIS ),SIS,
SOCIAL SALUD TKL ( TKL ),TKL,
SOCIAL SALUD TKL (BAGO) ( TBA ),BAGO,
SOCIAL SALUD TKL (DOMINGUEZ) ( SDO ),SDO,
SOCIAL SALUD TKL (FORTBENTON) ( FOR ), FOR,
SOCIAL SALUD TKL (PANALAB) ( SPA ),SPA ,
SOCIAL SALUD TKL (PHARMOS) ( PHA ),PHA,
SWISS MEDICAL GROUP 40% ( SW3 ),SW3,
TARMED 100% ( TAR ),TAR,
TV SALUD / SAT 50% - ROSA ( TV7 ),TV7,
U. PERSONAL - COSEGURO 30% ( UPC ),UPC,
UNION PERSONAL,A02,#Afil sin los dos primeros digitos y sin el último
W.HOPE / MIXTO-TKL ( WWW ),WWW,
